Year,Rainfall,Snowmelt,Max
2024,19.6,33.4,33.4
2023,23.3,66.1,66.1
2022,5.1,49.8,49.8
2021,260,50.3,260
2020,39,62.4,62.4
2019,9.46,38.1,38.1
2018,30.7,65.7,65.7
2017,92.7,60.5,92.7
2016,31,51.7,51.7
2015,31.7,15.2,31.7
2014,40.9,55.3,55.3
2013,17.1,90.2,90.2
2012,26.4,53.2,53.2
2011,15.9,58.6,58.6
2010,11,47.6,47.6
2009,17.8,35.7,35.7
2008,14.6,75.5,75.5
2007,65.8,54.4,65.8
2006,83.7,69.7,83.7
2005,36,24.1,36
2004,48.8,35.2,48.8
2003,69,49.2,69
2002,39.4,63.9,63.9
2001,17,45.8,45.8
2000,9.22,39.6,39.6
1999,53.9,76.9,76.9
1998,8.79,60,60
1997,22.2,76.7,76.7
1996,35.3,49.6,49.6
1995,104,52,104
1994,12.5,43.2,43.2
1993,6.54,64.5,64.5
1992,23.2,46.5,46.5
1991,32,62.3,62.3
1990,101,31.6,101
1989,53.9,48.7,53.9
1988,20.7,54.3,54.3
1987,11.7,61.3,61.3
1986,30,65.6,65.6
1985,10.8,55.9,55.9
1984,96.2,43,96.2
1983,12.8,51.3,51.3
1982,8.31,52.2,52.2
1981,17.8,39.3,39.3
1980,92.6,37.3,92.6
1979,39.5,30.5,39.5
1978,31.1,55.8,55.8
1977,17.6,31.4,31.4
1976,19.7,52.7,52.7
1975,40.5,68.2,68.2
1974,21,84.7,84.7
1973,4.13,47.3,47.3
1972,26.1,91.2,91.2
1971,23.4,64.3,64.3
1970,4.39,64.3,64.3
1969,7.19,57.2,57.2
1968,34,58.9,58.9
1967,57.5,64.8,64.8
1966,17.2,41.6,41.6
